name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
공문배,1964/08/28,DF,174,67,1987,1998,12,268,0,5,8
김상호,1964/10/05,MF,173,65,1987,1998,12,232,15,24,10
강재순,1964/12/15,FW,169,64,1987,1995,8,196,28,21,12
김종민,1965/01/06,DF,174,64,1987,1990,4,15,2,0,1
이문영,1965/05/05,GK,180,75,1987,1992,6,134,0,0,5
이기근,1965/08/13,FW,170,69,1987,1997,10,264,70,19,8
하재훈,1965/08/15,DF,174,67,1987,1994,8,139,5,11,8
김주성,1966/01/17,DF,177,73,1987,1999,12,255,35,17,1
김판근,1966/03/05,MF,172,68,1987,1997,11,267,13,21,3
강만영,1962/06/14,FW,176,66,1988,1989,2,27,2,2,6
김민구,1964/01/29,FW,173,69,1988,1990,3,28,0,2,1
문영래,1964/03/06,MF,173,72,1988,1995,8,136,6,11,3
김경래,1964/03/18,MF,173,64,1988,1997,10,168,14,5,3
이광종,1964/04/01,MF,175,68,1988,1997,10,266,36,21,4
박동균,1964/10/15,DF,173,73,1988,1988,1,15,0,0,10
최대식,1965/01/10,MF,180,75,1988,1995,8,189,8,28,1
김종부,1965/01/13,FW,183,72,1988,1995,9,81,6,8,1
주경철,1965/02/22,FW,172,66,1988,1995,6,90,6,11,2
황보관,1965/03/01,MF,178,72,1988,1995,8,171,44,27,3
최건택,1965/03/23,FW,176,69,1988,1989,2,29,2,2,3
김부만,1965/05/07,DF,180,70,1988,1991,4,49,1,0,5
윤상철,1965/06/14,FW,178,73,1988,1997,10,300,101,31,6
최영준,1965/08/16,DF,180,76,1988,1996,9,210,4,4,8
김남호,1965/10/17,MF,174,66,1988,1989,2,9,0,0,10
한창우,1965/10/25,DF,174,70,1988,1988,1,9,0,0,10
조덕제,1965/10/26,NA,172,74,1988,1995,8,213,10,11,10
오승인,1965/12/20,DF,182,73,1988,1994,5,61,2,0,12
조병영,1966/01/22,DF,176,72,1988,1997,10,178,3,1,1
송선호,1966/01/24,NA,184,80,1988,1996,9,166,4,5,1
강한상,1966/03/20,DF,176,68,1988,1989,2,29,0,0,3
양정환,1966/07/26,FW,172,70,1988,1989,2,14,0,2,7
김동훈,1966/09/11,GK,180,83,1988,1994,6,102,0,0,9
서경조,1969/09/28,MF,168,66,1988,1988,1,2,0,0,9
김대영,NA,DF,NA,NA,1988,1988,1,9,0,0,NA
박재권,NA,DF,NA,NA,1988,1988,1,5,0,0,NA
박석호,1961/05/20,GK,183,77,1989,1989,1,1,0,0,5
권영대,1963/03/13,DF,182,74,1989,1990,2,28,0,0,3
하성준,1963/08/15,MF,173,70,1989,1996,8,233,7,8,8
문원근,1963/09/16,DF,173,66,1989,1990,2,20,0,4,9
김영주,1964/01/01,FW,175,74,1989,1991,3,80,9,5,1
박두흥,1964/04/01,DF,175,70,1989,1992,4,62,2,5,4
허기수,1965/01/05,FW,182,75,1989,1992,4,50,3,1,1
유대순,1965/03/04,GK,182,76,1989,1994,6,102,0,0,3
안익수,1965/05/06,DF,183,80,1989,1998,10,253,2,3,5
안효철,1965/05/15,GK,179,70,1989,1989,1,1,0,0,5
박상록,1965/08/13,MF,172,67,1989,1990,2,18,0,0,8
차상해,1965/10/20,FW,191,84,1989,1996,10,130,26,10,10
김재소,1965/11/06,DF,174,67,1989,1993,5,70,0,2,11
박종대,1966/01/12,MF,180,72,1989,1991,3,47,9,2,1
남호상,1966/01/17,FW,173,72,1989,1989,1,1,0,0,1
오동천,1966/01/20,MF,171,64,1989,1996,8,227,20,17,1
유승관,1966/01/22,FW,175,73,1989,1995,5,59,7,2,1
이준택,1966/01/24,FW,175,68,1989,1994,5,48,2,1,1
송광환,1966/02/01,NA,172,65,1989,1998,10,226,1,11,2
김이주,1966/03/01,FW,175,70,1989,1998,11,266,39,23,3
나치선,1966/03/07,GK,182,76,1989,1990,2,24,0,0,3
임종헌,1966/03/08,DF,174,69,1989,1996,8,178,1,4,3
김봉길,1966/03/15,FW,175,68,1989,1998,10,265,44,16,3
김기완,1966/03/16,DF,175,70,1989,1989,1,9,1,0,3
김동해,1966/03/16,MF,178,72,1989,1996,7,139,9,10,3
